dataset,accuracy_metric,fairness_metric,base_model,method,lambda_,seed_mean_accuracy,seed_mean_fairness,on_pareto_frontier
acs_income,accuracy,equal_opportunity,RF,exp_gradient,0.0,0.8134285641274628,0.06592759767669658,False
acs_income,accuracy,equal_opportunity,RF,exp_gradient,0.05,0.8132139115324662,0.06525901817219078,False
acs_income,accuracy,equal_opportunity,RF,exp_gradient,0.1,0.8134285641274628,0.06592759767669658,False
acs_income,accuracy,equal_opportunity,RF,exp_gradient,0.3,0.7896097922469527,0.04900406706475619,False
acs_income,accuracy,equal_opportunity,RF,exp_gradient,1.0,0.778971711854445,0.06251461259828905,False
acs_income,accuracy,equal_opportunity,RF,lfr,0.0,0.8131985792042522,0.06759212139360724,False
acs_income,accuracy,equal_opportunity,RF,lfr,0.05,0.718509953236399,0.060421306929277586,False
acs_income,accuracy,equal_opportunity,RF,lfr,0.1,0.712871489535686,0.07966462503786517,False
acs_income,accuracy,equal_opportunity,RF,lfr,0.3,0.7010834845271254,0.07404656808230312,False
acs_income,accuracy,equal_opportunity,RF,lfr,1.0,0.6748792579153144,0.03647050883591593,False
acs_income,accuracy,equal_opportunity,RF,lfr,3.0,0.6324457618889429,0.03755519823340668,False
acs_income,accuracy,equal_opportunity,RF,lfr,10.0,0.5849347098356885,-0.04239133848103926,True
acs_income,accuracy,equal_opportunity,RF,optim_preproc,0.0,0.8131985792042522,0.06759212139360724,False
acs_income,accuracy,equal_opportunity,RF,reweighing,0.0,0.8131985792042522,0.06759212139360724,False
acs_income,accuracy,equal_opportunity,RF,reweighing,0.05,0.8134886157463012,0.06193267205217608,True
acs_income,accuracy,equal_opportunity,RF,reweighing,0.1,0.8134886157463012,0.06193267205217608,True
acs_income,accuracy,equal_opportunity,RF,reweighing,0.3,0.8134886157463012,0.06193267205217608,True
acs_income,accuracy,equal_opportunity,RF,reweighing,1.0,0.8134886157463012,0.06193267205217608,True
acs_income,accuracy,equal_opportunity,RF,reweighing,3.0,0.8134886157463012,0.06193267205217608,True
acs_income,accuracy,equal_opportunity,RF,reweighing,10.0,0.8134886157463012,0.06193267205217608,True
acs_income,accuracy,equal_opportunity,RF,smote_nc,0.0,0.8131985792042522,0.06759212139360724,False
acs_income,accuracy,equal_opportunity,RF,smote_nc,0.05,0.8126670584928322,0.06594287649496114,False
acs_income,accuracy,equal_opportunity,RF,smote_nc,0.1,0.8126670584928322,0.06594287649496114,False
