dataset,target,model,metric,value,seed,mean,std,ci_lo,ci_hi,noise_std,target_form,n_classes,sample_n,random_state,notes
acs_income,high_income,ConstantPredictor,process_consistency,1.0,7,,,,,0.1,binary,2,500,7,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,8,,,,,0.1,binary,2,500,8,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,9,,,,,0.1,binary,2,500,9,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,10,,,,,0.1,binary,2,500,10,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,11,,,,,0.1,binary,2,500,11,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,12,,,,,0.1,binary,2,500,12,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,13,,,,,0.1,binary,2,500,13,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,14,,,,,0.1,binary,2,500,14,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,15,,,,,0.1,binary,2,500,15,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,16,,,,,0.1,binary,2,500,16,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,17,,,,,0.1,binary,2,500,17,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,18,,,,,0.1,binary,2,500,18,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,19,,,,,0.1,binary,2,500,19,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,-1,1.0,0.0,1.0,1.0,0.3,binary,2,500,-1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,0,,,,,0.3,binary,2,500,0,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,1,,,,,0.3,binary,2,500,1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,2,,,,,0.3,binary,2,500,2,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,3,,,,,0.3,binary,2,500,3,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,4,,,,,0.3,binary,2,500,4,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,5,,,,,0.3,binary,2,500,5,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,6,,,,,0.3,binary,2,500,6,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,7,,,,,0.3,binary,2,500,7,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,8,,,,,0.3,binary,2,500,8,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,9,,,,,0.3,binary,2,500,9,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,10,,,,,0.3,binary,2,500,10,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,11,,,,,0.3,binary,2,500,11,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,12,,,,,0.3,binary,2,500,12,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,13,,,,,0.3,binary,2,500,13,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,14,,,,,0.3,binary,2,500,14,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,15,,,,,0.3,binary,2,500,15,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,16,,,,,0.3,binary,2,500,16,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,17,,,,,0.3,binary,2,500,17,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,18,,,,,0.3,binary,2,500,18,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,19,,,,,0.3,binary,2,500,19,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,-1,1.0,0.0,1.0,1.0,1.0,binary,2,500,-1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,0,,,,,1.0,binary,2,500,0,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,1,,,,,1.0,binary,2,500,1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,2,,,,,1.0,binary,2,500,2,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,3,,,,,1.0,binary,2,500,3,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,4,,,,,1.0,binary,2,500,4,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,5,,,,,1.0,binary,2,500,5,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,6,,,,,1.0,binary,2,500,6,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,7,,,,,1.0,binary,2,500,7,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,8,,,,,1.0,binary,2,500,8,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,9,,,,,1.0,binary,2,500,9,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,10,,,,,1.0,binary,2,500,10,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,11,,,,,1.0,binary,2,500,11,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,12,,,,,1.0,binary,2,500,12,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,13,,,,,1.0,binary,2,500,13,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,14,,,,,1.0,binary,2,500,14,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,15,,,,,1.0,binary,2,500,15,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,16,,,,,1.0,binary,2,500,16,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,17,,,,,1.0,binary,2,500,17,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,18,,,,,1.0,binary,2,500,18,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,19,,,,,1.0,binary,2,500,19,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,-1,1.0,0.0,1.0,1.0,3.0,binary,2,500,-1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,0,,,,,3.0,binary,2,500,0,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,1,,,,,3.0,binary,2,500,1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,2,,,,,3.0,binary,2,500,2,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,3,,,,,3.0,binary,2,500,3,
