dataset,weighting_scheme,model_a,model_b,comparison_type,mean,ci_lo,ci_hi,cohens_d,effect_size_kind,p_value,n_bootstrap,notes,p_holm,rejected_holm
acs_income,consistency_heavy,RandomForestClassifier,MLPClassifier,separability_gap,1.9,1.05,2.7,0.9912944852297884,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,consistency_heavy,RandomForestClassifier,XGBClassifier,separability_gap,-3.8,-4.55,-3.0,-2.083540074130164,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,consistency_heavy,XGBClassifier,GradientBoostingClassifier,separability_gap,2.45,1.75,3.05,1.5928615787000378,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,consistency_heavy,XGBClassifier,KNeighborsClassifier,separability_gap,5.05,4.45,5.6,3.621270420546912,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,GradientBoostingClassifier,KNeighborsClassifier,procedural_gap,-0.05766497791917204,-0.07644702730695936,-0.03789598996702632,-1.303412110222415,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,LogisticRegression,GradientBoostingClassifier,procedural_gap,0.08471435204371194,0.07333340564326567,0.09594106079952279,3.1586444059734053,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,LogisticRegression,KNeighborsClassifier,procedural_gap,0.027049374124539893,0.01224421466198914,0.04297622230150942,0.769106670627016,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,LogisticRegression,MLPClassifier,procedural_gap,0.08068058121150845,0.06877352823357151,0.09152957079561831,3.0233182121571156,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,LogisticRegression,XGBClassifier,procedural_gap,0.08011861954450751,0.06934028513112851,0.09080055656541526,3.1582116720145805,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,MLPClassifier,GradientBoostingClassifier,procedural_gap,0.004033770832203476,-0.00758734266945582,0.01612619946036561,0.14448358165937047,cohens_d,0.5184,10000,,1.0,False
acs_income,equal_weights,MLPClassifier,KNeighborsClassifier,procedural_gap,-0.05363120708696856,-0.07130905634333312,-0.03420459977907324,-1.2386860783146865,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,MLPClassifier,XGBClassifier,procedural_gap,-0.0005619616670009486,-0.01081828393580619,0.010242862023743287,-0.022884342315136384,cohens_d,0.912,10000,,1.0,False
acs_income,equal_weights,RandomForestClassifier,GradientBoostingClassifier,procedural_gap,-0.003372113673846233,-0.015981346983340004,0.008369366869472794,-0.11712641444215492,cohens_d,0.6028,10000,,1.0,False
